"","MEblack","MEblue","MEbrown","MEcyan","MEgreen","MEgreenyellow","MEgrey60","MElightcyan","MElightgreen","MEmagenta","MEmidnightblue","MEpink","MEpurple","MEred","MEsalmon","MEtan","MEturquoise","MEyellow"
"J1_14SC3_4",-0.0570466230357242,0.138718909587263,-0.205724211590269,0.370712182710689,-0.103604235681703,0.194017389611835,-0.0413420554435188,-0.0584805345453493,-0.0390204603732122,-0.0378364494751946,-0.0538396605715932,-0.0591429356544574,-0.0448546934630975,-0.0617462929000633,-0.0730967671738348,0.230260684705692,-0.127639783985702,0.0349607276274422
"J1_14SS1_1",-0.0705617614622351,-0.0997497517328303,0.133729214671992,-0.0402783970261062,0.10122053052509,-0.00455573406565586,-0.0112728646575224,-0.0230133866645925,-0.0382545317125689,-0.00205323941755004,-0.0298315321407366,-0.0479213802843365,-0.0498563941272697,-0.0564837593708329,0.333229175957128,-0.145311657042918,-0.06260455623645,0.0286059972386475
"J1_14SS1_2",-0.101804448011433,-0.1085880761214,0.103238178428458,-0.0778722032392185,0.0906119539251184,-0.0509929914431173,-0.073366610098427,-0.078448028115179,-0.0293926737694142,-0.0541975802954383,-0.0751699129381305,-0.102927372893853,0.148897828590007,0.16774695082131,-0.0783819348657529,-0.179972421960668,-0.0666251828305855,0.0705751601726067
"J1_14SS1_3",0.212446761112656,0.096100336508849,-0.137349839724251,0.322288449185872,-0.0584239216510193,0.0278452035383397,-0.0629842386667891,-0.072531830570774,-0.0455236351992037,-0.0589615537122121,-0.0543480976116252,-0.0386806900149472,-0.0413128168559216,-0.0845781209873375,-0.0835681764555066,0.127109129574448,-0.0722105671553422,0.0131906477860158
"J1_14SS1_4",-0.0380430213093666,-0.105956424182448,0.079800365987648,-0.0387535692391203,0.0923771626531113,0.0622954018463563,-0.0299551249960688,-0.0265535377492593,-0.0340454050313331,-0.00492982551796392,-0.051278527030666,0.241127093698942,-0.0617276644983449,-0.07089170796193,0.289545989560603,-0.0192379230162097,-0.0871096531253869,0.0948641975108056
"J1_14SS2_1",-0.0549209044588259,0.0765051003424795,-0.129258043695287,-0.0525336676441145,-0.031970919060842,0.181277288417808,-0.048018879894226,-0.059243625711571,0.268071651410174,-0.0349804456558239,-0.0375919628394385,-0.0724011957199814,-0.0200666101666722,-0.0485243871374307,-0.0528706788976671,0.166521576497958,-0.137945338429888,0.077741771151544
"J1_14SS2_2",-0.0296051236286935,-0.0264199322378119,-0.0900415454335089,0.333117190435895,0.0291436023213043,0.0809160881163251,-0.0518208387251609,-0.0416741578276003,-0.0286763868662745,-0.0446147262526299,-0.0216443947414994,-0.0564916181866345,-0.0363696671676404,-0.050552208313767,-0.0390744076261094,0.0843496174474346,-0.105363732311521,0.325086723816128
"J1_14SS2_3",-0.0520871636397923,0.109235490039512,-0.148312604069539,-0.0401805440929846,-0.118663573413059,0.0102296206803822,-0.040858538667324,-0.0374706910600853,-0.0375780831117182,-0.00797709025595901,-0.0485970519423673,-0.0670279632059667,-0.0157088738765851,0.319577511538326,-0.0564625777282453,0.108160141295878,-0.0718022834946579,0.161421560388141
"J1_14SS2_4",-0.0659519942363137,0.037011150390036,-0.0742942475247113,-0.0480463940951481,-0.024782770557066,0.0152393309065171,-0.0306081858025713,0.308480870300625,-0.0444925845731433,-0.00386414205821795,-0.0505150799492189,-0.0743681775779715,-0.0369115247162533,0.248640975646091,-0.0428156711030404,0.0195746571616941,-0.0641971179490454,0.238770510491166
"J1_14SS3_1",-0.0355871005741617,-0.0989071280072139,0.0540233065807184,-0.0109932899220954,0.0881476604217838,0.0993581536391782,-0.0352750898922548,-0.0365295170222861,-0.0158257105785441,-0.0241554656201463,-0.0275181500105631,-0.0400803328627215,0.381404189564954,-0.0350493192430648,-0.0471155111407878,0.0214083977895443,-0.0607257146097409,-0.0469301299970323
"J1_14SS3_2",-0.0652693514270285,0.0951159926112193,-0.164626587968994,-0.0496038703982789,-0.105991383645076,0.0987164283745862,-0.0532783822895601,-0.056516991509514,-0.0377510216020983,-0.00516740835224379,-0.0534068691084695,-0.0799572463227533,0.267033896068897,0.239114741509008,-0.0780766960909745,0.146760353987959,-0.0803829604647378,0.225762014946287
"J1_14SS3_3",-0.0455628542654716,-0.0523687716789423,-0.142687262831203,-0.0165648018126765,0.0539934749023751,0.285427184640199,-0.0535475417128628,-0.0211596457382512,-0.0292020441531718,-0.0326508564583865,-0.0293633755806457,-0.0723448292508286,0.312711466257905,-0.047766689398313,-0.0717540184307759,0.212526649309276,-0.152128497520741,0.129713725994932
"J1_14SS3_4",-0.0390340139290447,0.0818328017018086,-0.159345492342068,-0.0342370252487503,-0.0511936756872816,0.165063898826179,-0.0226811377671442,-0.0399241036749634,-0.0344857481851391,0.0049984415859586,-0.0216323828381977,-0.0522934138208839,-0.0309373814013435,-0.0295594881774367,-0.0497208374138001,0.177344994260006,-0.126794097912342,0.010744364913475
"J2_14SC1_1",0.247912295248805,-0.119786863588052,0.141197545962844,-0.0284107575515469,0.0791775842716846,-0.0765278772897447,-0.0198161819278375,-0.0503532800497832,-0.0168468441685526,-0.0492275246448324,-0.0340879183957499,-0.0160486334108777,-0.0402169313236619,-0.0620397665785012,-0.0370427976356259,-0.101329809359754,0.0211676823715023,0.0447218122183673
"J2_14SC1_2",-0.0599028730131273,-0.0743203354689601,0.113004891691482,-0.0329739144644312,0.01942999663646,-0.126642269999731,-0.0301581580232955,-0.0402611774314808,-0.0249480683379816,-0.0373190719842038,-0.0438875411643601,-0.0505583899255648,-0.0294844369829529,0.193651497400211,-0.0313484695799765,-0.146647203807815,0.0552886578186104,0.120524634885358
"J2_14SC1_3",-0.0444535845429376,-0.0660084023061972,0.122215568814609,-0.0463122462777348,0.0395325834096968,-0.143493094786228,-0.0370372514559539,-0.0419437437022596,-0.011450298069886,-0.0592176959864679,-0.0414127345729765,0.250844953235796,-0.0664883749091538,-0.081364986934823,-0.0322506775506021,-0.155322753399271,0.0693311157039366,-0.0189218719170995
"J2_14SC1_4",-0.0546981286409806,-0.138642772784619,0.154235314233523,-0.0469286665416519,0.0892430800325269,-0.0939043873670943,-0.00495930495931868,-0.0294968714986324,0.356477042916392,-0.0648092059184221,0.201700580125173,-0.0530559467180351,-0.0462786049698251,-0.0660451063539791,-0.0208853792834354,-0.157055709076862,0.0369923428433165,0.055117857941356
