"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MSTRG.64805",5.38286808612298,-22.0011472975866,4.71057520582218,-4.67058614633593,3.00341494306214e-06,0.00120667314794811
"MSTRG.18190",19.7607573261583,7.59712393916675,1.62816099740551,4.66607660499965,3.07005283452372e-06,0.00122647743492659
"MSTRG.38151|LOC111136629",10.0814613123891,-17.2838536857133,3.70538326551893,-4.66452521836299,3.09330397363226e-06,0.00122882369258152
"MSTRG.42589",14.9278949497696,-15.9756837027211,3.429812622439,-4.65788818846917,3.1946963434291e-06,0.00126201214044813
"MSTRG.64643",2.98371378175317,-19.1811366530884,4.11936309530887,-4.65633550849933,3.21887229372439e-06,0.00126449821534192
"MSTRG.53248",7.80611271134213,-19.6971679092119,4.23411041979429,-4.65202036704769,3.28698605059236e-06,0.00128412193714606
"MSTRG.76129",9.23532725235659,-18.1253611086909,3.90082458282925,-4.64654606322869,3.37538789656274e-06,0.001311412382164
"MSTRG.25410|LOC111126611",1.39852426425993,19.148968554831,4.12289419516928,4.6445452268136,3.40826382623359e-06,0.00131694941757816
"MSTRG.28967",15.7018358623891,-7.57014687404755,1.63181757802466,-4.63908893738681,3.4994844260719e-06,0.00134484806115201
"MSTRG.16988|LOC111126977",9.09500581722386,-17.4690866250639,3.77982136286893,-4.62166990130049,3.80663388342572e-06,0.00145497777584279
"MSTRG.68659",50.3472126521809,21.9512371263717,4.75842666716989,4.61312922563695,3.96651519252535e-06,0.00150793685902505
"MSTRG.79851|LOC111112169",6.77633315523057,-16.1666260086778,3.51552254951144,-4.59864096474775,4.2525592848173e-06,0.0016080359336295
"MSTRG.46835|LOC111134224",6.16607230477206,27.566167595878,6.00286278946971,4.59217019656603,4.38660392882286e-06,0.00163253237058418
"MSTRG.71128",319.816909707592,-14.0802461083905,3.06555082026922,-4.59305584343696,4.36802114199525e-06,0.00163253237058418
"MSTRG.34180|LOC111133492",4.01090370226816,16.7215843728425,3.63967234161618,4.59425541734818,4.34297171870286e-06,0.00163253237058418
"MSTRG.83095",5.09617612777678,16.2968021828966,3.55431077768761,4.58508082219503,4.53810857111582e-06,0.00168007432027314
"MSTRG.28950|LOC111129928",221.358719193898,-3.89601317146003,0.851698582921627,-4.57440372636916,4.77578145734655e-06,0.00175885563870017
"MSTRG.50686",53.3738911563343,29.3680751467916,6.42201794051892,4.57302913489191,4.8072326328431e-06,0.00176126542332108
"MSTRG.5055",8.25609803273697,6.58327574603367,1.44104481765565,4.56840458074274,4.9145070931104e-06,0.00179128717041716
"MSTRG.69352|LOC111110984",3.08003559006245,28.0879614555659,6.15874781414702,4.56066107968346,5.09928280105236e-06,0.00184910454433443
"MSTRG.1176",5.76869775104146,6.87193843475968,1.50721029795801,4.55937598361016,5.13058441135633e-06,0.00185096303220111
"MSTRG.74981",5.59655169880293,23.6682990567331,5.19365296346926,4.55715836680068,5.18503297924944e-06,0.00186111099997821
"MSTRG.19418|LOC111123608",1.90919599475574,18.735061723145,4.11338548539332,4.55465742018915,5.24710189374569e-06,0.0018644614171289
"MSTRG.74290",4.5660517527493,-21.4708947340754,4.71324018213802,-4.55544252029521,5.2275409375021e-06,0.0018644614171289
"MSTRG.43292|LOC111132214",5.79129982603974,-16.8241793799568,3.69912349927862,-4.54815292953525,5.41188040818185e-06,0.00191339737771473
"MSTRG.41526",41.1671839360812,-14.7567089021495,3.24611944628367,-4.54595375997139,5.46870424661289e-06,0.00192386838797136
"MSTRG.1159|LOC111135084",22.255093879587,-5.74039308133556,1.26570915983986,-4.53531764126748,5.75168560471824e-06,0.00201340317225362
"MSTRG.75627",2.3213826458773,30,6.61987164932701,4.53180991855784,5.84804606771885e-06,0.0020370501748496
"MSTRG.47963",5.16113553990163,-15.6965000360941,3.48015346947917,-4.51028961043009,6.47391805887151e-06,0.00224400597971011
"MSTRG.7004",15.6536813364184,-14.6403072149532,3.24948027623839,-4.50543039821151,6.6238548232173e-06,0.00228197060921413
"MSTRG.20008|LOC111122534",8.61375497976799,-17.946570409326,3.98400278552016,-4.50465809776859,6.64798893380254e-06,0.00228197060921413
"MSTRG.23342|LOC111124843",185.931925383422,-7.43138486566124,1.65091204691724,-4.50138145126381,6.75132172645672e-06,0.00229783491562385
"MSTRG.39756",17.1442486337265,30,6.66498758850948,4.50113366328249,6.75919817920494e-06,0.00229783491562385
"MSTRG.2925",4.54436829905739,-17.0860742721317,3.79817479586982,-4.49849603833696,6.84358715795836e-06,0.00231539182548514
