GeneID	Annotation_GO_ID
LOC111099427	GO:0003674
LOC111099427	GO:0003674
LOC111099428	GO:0003674
LOC111099429	unknown
LOC111099439	GO:0016491
LOC111099442	GO:0005634;GO:0005694;GO:0006259;GO:0006950;GO:0032991
LOC111099443	GO:0005634;GO:0005694;GO:0006259;GO:0006950;GO:0032991
LOC111099443	GO:0005634;GO:0005694;GO:0006259;GO:0006950;GO:0032991
LOC111099446	GO:0008233
LOC111099450	unknown
LOC111099450	unknown
LOC111099450	unknown
LOC111099452	unknown
LOC111099457	unknown
LOC111099458	GO:0003674
LOC111099458	GO:0003674
LOC111099458	GO:0003674
LOC111099458	GO:0003674
LOC111099459	unknown
LOC111099459	unknown
LOC111099460	unknown
LOC111099460	unknown
LOC111099461	GO:0005575;GO:0055085
LOC111099462	unknown
LOC111099464	GO:0006464;GO:0016301;GO:0043167
LOC111099464	GO:0006464;GO:0016301;GO:0043167
LOC111099466	unknown
LOC111099468	GO:0016491;GO:0043167
LOC111099469	GO:0003674
LOC111099470	GO:0003674
LOC111099471	GO:0003674
LOC111099473	GO:0003674;GO:0005576;GO:0007165
LOC111099475	unknown
LOC111099476	unknown
LOC111099476	unknown
LOC111099479	unknown
LOC111099479	unknown
LOC111099481	GO:0003674
LOC111099481	GO:0003674
LOC111099481	GO:0003674
LOC111099481	GO:0003674
LOC111099483	GO:0003674
LOC111099483	GO:0003674
LOC111099483	GO:0003674
LOC111099483	GO:0003674
LOC111099484	GO:0006457;GO:0043167;GO:0051082
LOC111099489	unknown
LOC111099490	GO:0009058;GO:0034655;GO:0043167;GO:0044281
LOC111099490	GO:0009058;GO:0034655;GO:0043167;GO:0044281
LOC111099493	GO:0005622;GO:0030234
LOC111099494	unknown
LOC111099495	unknown
LOC111099496	GO:0003674;GO:0009056;GO:0044281
LOC111099496	GO:0003674;GO:0009056;GO:0044281
LOC111099497	unknown
LOC111099500	GO:0003674;GO:0005575;GO:0006629;GO:0009058
LOC111099501	unknown
LOC111099501	unknown
LOC111099501	unknown
LOC111099501	unknown
LOC111099502	GO:0005739;GO:0009058;GO:0016810;GO:0032991;GO:0034641;GO:0044281
LOC111099503	GO:0009058;GO:0034641
LOC111099504	unknown
LOC111099504	unknown
LOC111099504	unknown
LOC111099504	unknown
LOC111099506	unknown
LOC111099506	unknown
LOC111099511	unknown
LOC111099511	unknown
LOC111099514	GO:0043167
LOC111099515	unknown
LOC111099515	unknown
LOC111099515	unknown
LOC111099517	unknown
LOC111099517	unknown
LOC111099519	GO:0003674
LOC111099519	GO:0003674
LOC111099520	unknown
LOC111099521	unknown
LOC111099522	GO:0002376;GO:0003674;GO:0005575;GO:0007165
LOC111099523	GO:0002376;GO:0003674;GO:0005575;GO:0007165
LOC111099524	GO:0005198;GO:0005635;GO:0032991
LOC111099526	unknown
LOC111099527	GO:0002376;GO:0005618;GO:0006950;GO:0009056;GO:0009058;GO:0016810;GO:0043167;GO:0071554
LOC111099528	unknown
LOC111099530	unknown
LOC111099531	GO:0009056;GO:0019899
LOC111099535	unknown
LOC111099537	unknown
LOC111099537	unknown
LOC111099539	unknown
LOC111099540	unknown
LOC111099544	GO:0006457;GO:0043167;GO:0051082
LOC111099545	GO:0003674;GO:0005576;GO:0008150
LOC111099547	unknown
LOC111099548	GO:0005856;GO:0008092;GO:0008150;GO:0032991;GO:0043167
LOC111099549	GO:0003674
LOC111099549	GO:0003674
LOC111099549	GO:0003674
LOC111099553	GO:0003674;GO:0007165
LOC111099556	GO:0043167
LOC111099557	GO:0006629;GO:0009058;GO:0016301
LOC111099557	GO:0006629;GO:0009058;GO:0016301
LOC111099558	GO:0043167
LOC111099561	unknown
LOC111099564	GO:0003674
LOC111099565	unknown
LOC111099567	unknown
LOC111099567	unknown
LOC111099568	unknown
LOC111099569	GO:0003674
LOC111099569	GO:0003674
LOC111099570	unknown
LOC111099573	GO:0005622;GO:0009056;GO:0030234;GO:0032991
LOC111099577	unknown
LOC111099577	unknown
LOC111099578	unknown
LOC111099580	GO:0000228;GO:0003674;GO:0032991;GO:0051276
