MSTRG.75713	unknown
MSTRG.32206	unknown
LOC111117485	unknown
MSTRG.20352	unknown
MSTRG.44467	unknown
LOC111111257	unknown
LOC111128850	unknown
MSTRG.65857	unknown
LOC111131786	GO:0005634;GO:0032991
LOC111110059	unknown
MSTRG.27871	unknown
MSTRG.2384	unknown
MSTRG.79371	unknown
MSTRG.42183	unknown
MSTRG.39322	unknown
LOC111101544	unknown
MSTRG.52380	unknown
LOC111133219	GO:0005575;GO:0006810
MSTRG.22296	unknown
LOC111116830	GO:0043167
LOC111113325	unknown
MSTRG.55496	unknown
MSTRG.79869	unknown
MSTRG.55970	unknown
MSTRG.8408	unknown
MSTRG.27043	unknown
MSTRG.77477	unknown
MSTRG.47357	unknown
LOC111119127	unknown
MSTRG.78347	unknown
MSTRG.34155	unknown
MSTRG.52553	unknown
LOC111118950	GO:0005575;GO:0007165;GO:0022857
MSTRG.45460	unknown
MSTRG.27170	unknown
LOC111114854	GO:0005575;GO:0006464;GO:0009058;GO:0016757
MSTRG.3214	unknown
MSTRG.30366	unknown
MSTRG.54403	unknown
MSTRG.53813	unknown
MSTRG.37951	unknown
MSTRG.14805	unknown
MSTRG.44999	unknown
MSTRG.84316	unknown
MSTRG.83381	unknown
MSTRG.1615	unknown
LOC111108629	GO:0003924;GO:0007005;GO:0043167
MSTRG.1314	unknown
MSTRG.38602	unknown
MSTRG.82301	unknown
MSTRG.70707	unknown
MSTRG.63584	unknown
MSTRG.19365	unknown
MSTRG.50508	unknown
MSTRG.8283	unknown
LOC111114532	GO:0016791
MSTRG.70576	unknown
MSTRG.18154	unknown
MSTRG.5311	unknown
LOC111125965	GO:0005575;GO:0055085
MSTRG.71198	unknown
MSTRG.70003	unknown
MSTRG.53868	unknown
LOC111121666	GO:0003674
MSTRG.55365	unknown
MSTRG.81705	unknown
MSTRG.21626	unknown
LOC111106425	GO:0003674
MSTRG.13611	unknown
MSTRG.65753	unknown
LOC111114484	GO:0006464;GO:0016301;GO:0043167
MSTRG.83791	unknown
MSTRG.62934	unknown
