"","MEblack","MEblue","MEbrown","MEgreen","MEpink","MEred","MEturquoise","MEyellow"
"J2_14SN2_4",0.0312253509841265,-0.0997585430638307,-0.0977166196651549,-0.0816744616833949,0.0943859126848401,0.172372660042356,0.105198911819004,-0.0536510955817494
"J2_14SN3_1",-0.209173127102921,0.272829868603127,0.0567369877756558,0.00855094606211768,0.0228425130439899,-0.159686638409585,-0.237620313949255,0.291729364086041
"J2_14SN3_2",0.125428658104109,0.00615093238045641,0.0469267856605385,-0.00241701552050485,-0.0979834069031518,-0.10823160026626,-0.039956439704178,0.06270823974296
"J2_14SN3_4",0.113016866655516,-0.0990381858567453,-0.0514635386842968,-0.0703488110308358,-0.0885188431398047,-0.021381850045881,0.137196567970935,-0.110039077125614
"J2_14SR1_1",0.0817462883627252,-0.14709896219569,-0.00231556155342725,-0.276560510194541,-0.151498479701929,-0.0537613299351148,0.192371364770627,-0.0666702708212183
"J2_14SR1_3",0.16037454024238,-0.104930605018527,-0.111592620763344,-0.143638032255117,-0.00904401570970243,0.116443207482341,0.157478830341537,-0.124617074983003
"J2_14SR2_1",0.209993595406885,-0.155358221507008,-0.0573840769524359,-0.0813525944770716,-0.094619331115987,0.0198792852422655,0.185328680331479,-0.0741084880259358
"J2_14SR2_2",0.115493715375348,-0.0739215000618577,-0.149862253936392,0.113378341148756,-0.00781717936219233,0.102134210184813,0.101875321537826,-0.17981272366427
"J2_14SR2_3",0.00557320292692903,-0.131809122240881,-0.0183499099063442,0.115876741720539,-0.0947747802318369,0.0114091380440787,0.132428137588696,-0.144791038064615
"J2_14SR2_4",0.0566786927917369,-0.0108184579879736,0.0603806654716844,0.0698647806646491,0.0367276981316282,0.0713225298211171,-0.0582754991887158,-0.028145221218656
"J2_14SR3_1",-0.14748139780778,-6.31748856298689e-05,0.257492453430291,0.0145479990616988,-0.0491942149171608,-0.0618546632424722,-0.0891871316450208,0.204767779844498
"J2_14SR3_2",0.0630131991109903,-0.167432379611559,0.0831554651797767,-0.314680078027021,-0.072035436667761,0.0920901642295818,0.126634275316691,-0.0129873013501169
"J2_14SR3_3",-0.29000063242579,0.0979352856664208,0.398651000569677,0.0499616016763059,-0.0538799354698068,-0.217911645784189,-0.166482003587591,0.342189030833558
"J2_14SR3_4",0.0754933187482022,-0.195475351240657,0.147259676296286,-0.222010652827209,-0.239688501277909,-0.118505046621312,0.210092192161346,0.00822217155963869
"J2_14SS1_1",-0.154991493308353,0.194829789509279,0.208327105068252,0.0055936417633266,-0.0406684935856265,-0.192149076404448,-0.245088110420781,0.288328061679822
"J2_14SS1_2",-0.278771446970509,0.217794961813249,0.219892526264674,-0.127015877542191,0.019917215881718,-0.155130007629721,-0.198333385487649,0.264478206975887
"J2_14SS1_3",-0.160030561117039,0.128002307817813,0.224288258917432,0.0282175544109601,-0.0781316035809886,-0.192028354881043,-0.133530909018254,0.191892990862679
"J2_14SS2_1",-0.133012297436671,0.0937612104533366,0.167995247789723,0.0870809949419889,0.0241525775062424,-0.030072956254058,-0.153596024054904,0.117154093555552
"J2_14SS2_2",0.0599426372093895,-0.110292733926983,0.153486129616163,-0.0697923040811255,-0.0886537619096762,-0.0486868838586419,0.0787279466164368,-0.0282524647715397
"J2_14SS2_3",-0.0399098593516394,-0.0565270478764094,0.188252093125919,-0.00676699551389228,-0.136387604986903,-0.138006727023586,0.0278420761890122,0.0189298425694462
"J2_14SS2_4",0.142720360350238,-0.0766294866052961,0.177744617122142,-0.202604431999069,-0.143686829253456,-0.114563778137642,0.0866926843077358,-0.0298725829048723
"J2_14SS3_1",-0.190465295280944,0.164291418852875,0.17130485259811,-0.0924288846786605,0.0817217949883875,-0.0755430473516247,-0.175887015772996,0.168498040690711
"J2_14SS3_2",-0.0645803547756447,-0.187610061916397,0.0357820353446843,-0.0398118956430826,0.0069362976925734,0.177211663323119,0.130183519262475,-0.103961768581454
"J2_14SS3_3",-0.144220548090869,0.104851979597184,0.127748816168325,-0.162186222487352,0.100178040887167,0.0378434949979214,-0.103153649941021,0.121552611146023
"J2_14SS3_4",-0.0356249885065709,-0.123034269894248,0.163031561038702,-0.057927155577716,-0.165466091996805,-0.0431273551775884,0.0884357990199369,-0.0136089599191856
